id,name,price,mrp,rating,ratingTotal,discount,seller
204,Women Watch Bracelet Gift Set,4199.0,4199.0,0.0,0,0,Voylla
205,Women Watch Bracelet Gift Set,5499.0,5499.0,0.0,0,0,Voylla
206,Women Watch Bracelet Gift Set,3999.0,3999.0,0.0,0,0,Voylla
207,Women Watch Bracelet Gift Set,4549.0,4549.0,0.0,0,0,Voylla
208,Women Watch Bracelet Gift Set,4499.0,4499.0,0.0,0,0,Voylla
209,Cosmos BT Calling Smartwatch,2799.0,7499.0,0.0,0,4700,pebble
210,Cosmos BT Calling Smartwatch,2799.0,7499.0,0.0,0,4700,pebble
211,Cosmos BT Calling Smartwatch,2799.0,7499.0,0.0,0,4700,pebble
212,Women Watch Bracelet Gift Set,4699.0,4699.0,0.0,0,0,Voylla
213,Analogue Straps Watch,599.0,3499.0,0.0,0,2900,CERO
214,Printed Dial Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
215,Women Bracelet Style Watch,899.0,4495.0,0.0,0,80,Swiss Design
216,Stainless Steel Straps Watch,599.0,3499.0,0.0,0,2900,CERO
217,Women Analogue Watch,813.0,2199.0,0.0,0,63,DressBerry
218,Women Leather Straps Watch,643.0,2299.0,0.0,0,72,Killer
219,Stainless Steel Straps Watch,599.0,3499.0,0.0,0,2900,CERO
220,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
221,Pack Of 2 Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
222,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
223,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
224,Set Of 2 Analogue Straps Watch,599.0,3499.0,0.0,0,2900,CERO
225,Women Leather Straps Watch,874.0,3499.0,0.0,0,75,Killer
226,Rubber Straps Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
227,Women Leather Strap Watch,699.0,2499.0,0.0,0,72,Killer
228,Women Stainless Steel Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
229,Stainless Steel Straps Watch,599.0,3499.0,0.0,0,2900,CERO
230,Pack Of 2 Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
231,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
232,Women Bracelet Style Watch,899.0,4495.0,0.0,0,80,Swiss Design
233,Stainless Steel Straps Watch,599.0,3499.0,0.0,0,2900,CERO
234,Ninja Call Ultra Smartwatch,1499.0,9999.0,0.0,0,8500,Fire-Boltt
235,Stainless Steel Straps Watch,599.0,3499.0,0.0,0,2900,CERO
236,Women Silecon Textured Watch,43000.0,43000.0,0.0,0,0,TISSOT
237,Set Of 3 Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
238,Unisex Leather Watch,66500.0,66500.0,0.0,0,0,TISSOT
239,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
240,Women Set Of 3 Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
241,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
242,Analogue Straps Watch,599.0,3499.0,0.0,0,2900,CERO
243,Women Analogue Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
244,Printed Dial Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
245,Women Stainless Steel Straps Watch,499.0,2199.0,0.0,0,1700,WATCHSTAR
246,Women Analogue Watch,813.0,2199.0,0.0,0,63,DressBerry
247,Women Embellished Watch,1695.0,1695.0,0.0,0,0,maxima
248,Stainless Steel Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
249,Women Set Of 2 Analogue Watch,599.0,3499.0,0.0,0,2900,CERO
250,Women Analogue Watch,1447.0,2895.0,0.0,0,50,Timex
251,Women Low-Rise Bikini Briefs,459.0,1999.0,0.0,0,77,Curves By ZeroKaata
252,Women Lace Thongs Briefs,459.0,1999.0,0.0,0,77,Curves By ZeroKaata
253,Women Thongs Briefs,459.0,1999.0,0.0,0,77,Curves By ZeroKaata
